epoch,train_loss,train_acc,val_loss,val_acc,val_f1,learning_rate
1,0.6994541713169643,0.5,0.695432980855306,0.5238095238095238,0.09090909090909091,3e-05
2,0.6951250348772321,0.44761904761904764,0.6959183017412821,0.47619047619047616,0.35294117647058826,2.996467872876745e-05
3,0.6881931849888393,0.5190476190476191,0.6965879599253336,0.5,0.36363636363636365,2.9858886996752768e-05
4,0.6956678118024554,0.47619047619047616,0.6965426405270895,0.5476190476190477,0.3870967741935484,2.968314021064018e-05
5,0.6980111258370536,0.49523809523809526,0.6953146855036417,0.5476190476190477,0.2962962962962963,2.943829459110562e-05
6,0.6947980608258929,0.5380952380952381,0.6962829232215881,0.47619047619047616,0.15384615384615385,2.912554300139567e-05
7,0.6963391985212054,0.4857142857142857,0.696429987748464,0.5238095238095238,0.23076923076923078,2.874640913581771e-05
8,0.6929103306361607,0.5380952380952381,0.6954481800397238,0.5,0.16,2.830274009645444e-05
9,0.6966465541294643,0.5142857142857142,0.6960271596908569,0.5238095238095238,0.23076923076923078,2.779669739426817e-05
10,0.6955152239118304,0.48095238095238096,0.6959507862726847,0.47619047619047616,0.26666666666666666,2.7230746418436735e-05
11,0.6914411272321429,0.5904761904761905,0.6970492402712504,0.5476190476190477,0.24,2.6607644425225176e-05
12,0.6928340366908482,0.5238095238095238,0.6969166000684103,0.5238095238095238,0.23076923076923078,2.5930427104910437e-05
13,0.6965659005301339,0.45714285714285713,0.6973985234896342,0.5238095238095238,0.23076923076923078,2.520239379220344e-05
14,0.685699462890625,0.5761904761904761,0.6962773203849792,0.47619047619047616,0.15384615384615385,2.442709139222204e-05
