epoch,train_loss,train_acc,val_loss,val_acc,val_f1,learning_rate
1,0.6994552612304688,0.45714285714285713,0.7017285426457723,0.5,0.4,0.0001
2,0.6975642613002232,0.48095238095238096,0.6969617605209351,0.5,0.4,9.856161996258957e-05
3,0.701080322265625,0.49523809523809526,0.6972690025965372,0.5,0.4,9.433007326983388e-05
4,0.6942051478794643,0.5142857142857142,0.6995300054550171,0.5238095238095238,0.4117647058823529,8.75512820344695e-05
5,0.6891762869698661,0.5761904761904761,0.6995952526728312,0.5238095238095238,0.4117647058823529,7.861920496319221e-05
6,0.695037841796875,0.5285714285714286,0.6994799375534058,0.5238095238095238,0.4117647058823529,6.80529419086055e-05
7,0.6896351405552456,0.5571428571428572,0.7002201279004415,0.5238095238095238,0.4117647058823529,5.646656567263848e-05
8,0.6836449759347099,0.5571428571428572,0.6999956369400024,0.5238095238095238,0.4117647058823529,4.453343432736151e-05
9,0.6889964512416294,0.5476190476190477,0.6991673111915588,0.5238095238095238,0.4117647058823529,3.2947058091394496e-05
10,0.7025277273995536,0.49047619047619045,0.6988587379455566,0.5238095238095238,0.4117647058823529,2.2380795036807794e-05
11,0.6852820260184151,0.5666666666666667,0.6985528071721395,0.5,0.4,1.3448717965530492e-05
12,0.6911773681640625,0.6,0.6984660029411316,0.5,0.4,6.669926730166126e-06
